
@RELATION stat_post_2_naive_quoted

@ATTRIBUTE length NUMERIC
@ATTRIBUTE links NUMERIC
@ATTRIBUTE quoted NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE sentiment {-2, -1, 0, 1, 2}
@ATTRIBUTE keywords NUMERIC
@ATTRIBUTE utility {0, 1, 2, 3, 4, 5}

@DATA
715, 13, 0, 1, 0, 64, 5
18, 0, 0, 2, 1, 2, 0
37, 0, 1, 3, 0, 0, 0
7, 0, 0, 4, 0, 0, 0
56, 2, 0, 5, 0, 3, 0
25, 1, 1, 6, 1, 0, 0
35, 3, 1, 7, 0, 1, 1
43, 0, 2, 8, 0, 3, 1
17, 1, 1, 9, 0, 1, 1
40, 2, 1, 10, 0, 2, 1
35, 2, 0, 11, 0, 1, 1
14, 0, 1, 12, 0, 2, 1
2, 0, 0, 13, 0, 0, 1
9, 1, 1, 14, 0, 0, 1
15, 0, 0, 15, 0, 1, 1
46, 1, 0, 16, 0, 4, 1
42, 0, 0, 17, 1, 5, 1
1, 0, 0, 18, 0, 0, 0
23, 0, 1, 19, 0, 2, 1
23, 0, 1, 20, 0, 0, 1
67, 1, 2, 21, 0, 3, 0
15, 0, 0, 22, 0, 0, 0
34, 1, 0, 23, 0, 3, 0
10, 0, 1, 24, 0, 0, 0
22, 1, 0, 25, 0, 0, 0
6, 1, 0, 26, 0, 0, 0
50, 1, 1, 27, 0, 2, 1
5, 0, 0, 28, 0, 2, 1
17, 0, 0, 29, 0, 3, 1
20, 0, 0, 30, 0, 1, 1
14, 0, 0, 31, 0, 0, 1
205, 0, 0, 32, 0, 21, 1
103, 0, 1, 33, 0, 9, 3
63, 0, 1, 34, 0, 5, 1
44, 1, 1, 35, 0, 4, 1
35, 1, 1, 36, 0, 1, 1
8, 0, 1, 37, 0, 0, 1
9, 0, 1, 38, 0, 0, 1
23, 0, 1, 39, 0, 2, 1
21, 0, 1, 40, 2, 1, 0
16, 0, 2, 41, 0, 2, 0
80, 1, 1, 42, 2, 6, 0
99, 0, 2, 43, 0, 10, 1
2, 0, 0, 44, 0, 0, 0
27, 2, 0, 45, 0, 2, 1
5, 1, 1, 46, 0, 0, 1
41, 0, 2, 47, 0, 5, 1
35, 1, 1, 48, 0, 3, 1
14, 0, 0, 49, 0, 0, 1
32, 0, 1, 50, 0, 3, 1
21, 0, 1, 51, 0, 2, 1
74, 2, 0, 52, 0, 5, 1
25, 1, 0, 53, 0, 3, 1
15, 0, 0, 54, 0, 0, 1
39, 0, 1, 55, 0, 2, 1
13, 0, 0, 56, 0, 1, 1
52, 1, 1, 57, 0, 5, 1
22, 1, 1, 58, 0, 1, 1
45, 0, 1, 59, 0, 3, 1
27, 1, 0, 60, 0, 1, 1
59, 1, 2, 61, 0, 3, 1
16, 1, 1, 62, 0, 2, 1
61, 2, 2, 63, 0, 5, 1
20, 0, 0, 64, 0, 2, 1
40, 0, 1, 65, 0, 2, 1
32, 0, 1, 66, 0, 1, 1
48, 0, 0, 67, 0, 1, 1
17, 0, 1, 68, 0, 0, 1
57, 0, 0, 69, 0, 0, 1
20, 0, 1, 70, 0, 0, 1
151, 1, 3, 71, 0, 4, 1
3, 0, 0, 72, 0, 0, 0
40, 1, 1, 73, 0, 3, 1
68, 1, 4, 74, 0, 3, 1
28, 0, 0, 75, 0, 1, 1
5, 0, 1, 76, 0, 1, 0
36, 0, 0, 77, 0, 2, 1
20, 1, 2, 78, 0, 2, 1
12, 0, 1, 79, 0, 0, 1
74, 1, 2, 80, 0, 0, 1
25, 1, 1, 81, 0, 0, 1
58, 2, 1, 82, 0, 1, 1
66, 0, 1, 83, 0, 5, 1
69, 0, 3, 84, 0, 7, 1
10, 0, 2, 85, 0, 1, 1
78, 0, 1, 86, 0, 7, 1
30, 0, 1, 87, 0, 3, 1
37, 0, 2, 88, 0, 3, 1
33, 0, 3, 89, 0, 3, 1
33, 0, 1, 90, 0, 3, 1
48, 0, 2, 91, 0, 3, 1
6, 1, 1, 92, 0, 0, 0
34, 3, 0, 93, 0, 0, 0
9, 1, 0, 94, 0, 0, 0
47, 4, 2, 95, 0, 3, 1
14, 2, 1, 96, 0, 0, 1
47, 1, 1, 97, 0, 2, 1
2, 1, 0, 98, 0, 0, 0
20, 0, 1, 99, 0, 0, 1
6, 0, 0, 100, 0, 0, 1
11, 1, 1, 101, 0, 0, 0
91, 0, 1, 102, 0, 8, 1
78, 2, 0, 103, 0, 5, 1
76, 2, 0, 104, 0, 3, 1
9, 0, 0, 105, 0, 2, 1
22, 0, 3, 106, 0, 1, 1
168, 1, 0, 107, 0, 9, 1
16, 0, 1, 108, 0, 1, 1
25, 0, 1, 109, 0, 1, 0
14, 3, 0, 110, 0, 0, 0
36, 1, 2, 111, 0, 3, 1
19, 1, 1, 112, 0, 1, 0
32, 2, 0, 113, 0, 1, 0
17, 0, 1, 114, 1, 1, 0
31, 0, 2, 115, 0, 1, 0
34, 0, 1, 116, 0, 3, 0
26, 1, 1, 117, 0, 0, 0
17, 1, 0, 118, 0, 0, 0
77, 0, 1, 119, 0, 4, 1
35, 1, 1, 120, 0, 1, 1
45, 0, 1, 121, 0, 1, 1
6, 1, 0, 122, 0, 0, 0
40, 0, 0, 123, 0, 4, 1
24, 0, 0, 124, 0, 2, 1
2, 0, 0, 125, 0, 0, 1
185, 2, 1, 126, 0, 21, 3
7, 0, 0, 127, 0, 0, 1
4, 0, 0, 128, 0, 0, 1
7, 0, 1, 129, 0, 0, 1
22, 0, 1, 130, 0, 0, 1
13, 1, 2, 131, 0, 0, 1
24, 1, 1, 132, 0, 0, 1
43, 1, 1, 133, 0, 0, 1
9, 0, 1, 134, 0, 0, 1
10, 0, 2, 135, 0, 0, 1
39, 0, 1, 136, 0, 2, 1
161, 0, 1, 137, 0, 14, 1
93, 1, 1, 138, 0, 4, 1
21, 0, 1, 139, 0, 0, 1
71, 0, 1, 140, 0, 6, 1
71, 0, 0, 141, 0, 4, 1
191, 1, 2, 142, 0, 17, 1
179, 1, 0, 143, 0, 12, 1
140, 0, 1, 144, 0, 11, 1
74, 0, 0, 145, 0, 2, 1
30, 0, 0, 146, 0, 2, 1
37, 1, 1, 147, 0, 3, 1
53, 2, 2, 148, 0, 1, 1
41, 1, 0, 149, 0, 4, 1
29, 0, 0, 150, 0, 1, 1
89, 1, 2, 151, 0, 8, 1
60, 0, 0, 152, 0, 6, 1
34, 0, 0, 153, 0, 4, 1
17, 1, 1, 154, 0, 1, 1
79, 0, 1, 155, 0, 6, 1
37, 1, 1, 156, 0, 2, 1
40, 0, 1, 157, 0, 1, 1
27, 1, 3, 158, 0, 2, 1
9, 0, 1, 159, 0, 0, 1
27, 0, 0, 160, 0, 2, 1
194, 2, 1, 161, -1, 11, 1
103, 1, 1, 162, 0, 6, 1
23, 0, 1, 163, 0, 0, 1
18, 0, 1, 164, 0, 1, 1
23, 0, 0, 165, 0, 2, 1
21, 0, 1, 166, 0, 2, 1
82, 0, 3, 167, 0, 5, 1
92, 0, 0, 168, 0, 3, 2
138, 0, 0, 169, 0, 10, 1
32, 1, 1, 170, 0, 1, 1
58, 0, 1, 171, 0, 2, 1
54, 0, 2, 172, 0, 5, 1
44, 0, 0, 173, 0, 5, 1
2, 1, 0, 174, 0, 0, 0
14, 0, 1, 175, 0, 0, 0
16, 1, 0, 176, 0, 1, 1
21, 0, 1, 177, 0, 3, 1
10, 0, 1, 178, 0, 0, 1
19, 0, 1, 179, 0, 1, 1
15, 0, 1, 180, 0, 0, 1
13, 0, 1, 181, 0, 0, 1
13, 0, 0, 182, 0, 0, 1
18, 0, 2, 183, 0, 2, 1
98, 2, 0, 184, 0, 2, 1
40, 0, 0, 185, 0, 1, 1
29, 2, 0, 186, 0, 2, 1
21, 0, 0, 187, -1, 1, 0
65, 0, 4, 188, 0, 3, 1
15, 0, 1, 189, 0, 2, 1
3, 0, 2, 190, 0, 0, 0
18, 0, 1, 191, 0, 0, 0
5, 0, 1, 192, 0, 0, 0
35, 0, 0, 193, 0, 1, 0
55, 0, 2, 194, 0, 3, 1
17, 1, 1, 195, 0, 0, 1
14, 1, 1, 196, 0, 2, 1
23, 1, 2, 197, 0, 0, 1
9, 0, 1, 198, 0, 0, 1
52, 0, 0, 199, 0, 0, 1
21, 0, 0, 200, 0, 1, 1
52, 2, 1, 201, 0, 2, 1
35, 0, 0, 202, 0, 0, 1
4, 1, 1, 203, 0, 0, 1
13, 1, 0, 204, 0, 0, 1
9, 0, 1, 205, 0, 0, 1
6, 1, 0, 206, 0, 0, 1
108, 1, 1, 207, 0, 16, 1
30, 1, 0, 208, 0, 3, 1
12, 0, 0, 209, 0, 1, 1
3, 0, 1, 210, 0, 0, 1
34, 0, 1, 211, 0, 1, 1
21, 1, 0, 212, 0, 0, 1
22, 0, 0, 213, 0, 1, 1
15, 1, 0, 214, 0, 1, 1
21, 0, 0, 215, 0, 3, 1
18, 1, 0, 216, 0, 2, 1
47, 0, 2, 217, 0, 8, 1
3, 0, 0, 218, 0, 0, 1
117, 0, 1, 219, 0, 10, 1
5, 0, 0, 220, 0, 1, 1
28, 0, 1, 221, 0, 2, 1
37, 0, 1, 222, 0, 4, 1
22, 0, 2, 223, 0, 0, 1
14, 0, 1, 224, 0, 2, 1
27, 0, 0, 225, 0, 3, 1
40, 5, 3, 226, 0, 0, 1
8, 0, 1, 227, 0, 0, 1
17, 0, 1, 228, 0, 1, 1
26, 0, 0, 229, 0, 3, 1
91, 1, 2, 230, 0, 12, 1
15, 0, 1, 231, 0, 0, 1
55, 0, 2, 232, 0, 4, 1
11, 0, 1, 233, 0, 1, 1
76, 0, 1, 234, 0, 9, 1
85, 0, 2, 235, 0, 13, 1
28, 0, 1, 236, 0, 3, 1
20, 1, 1, 237, 0, 1, 1
22, 1, 2, 238, 0, 1, 1
39, 0, 0, 239, 0, 1, 1
32, 1, 1, 240, 0, 2, 1
7, 0, 1, 241, 0, 0, 1
4, 0, 1, 242, 0, 0, 1
90, 0, 1, 243, 0, 7, 1
8, 2, 2, 244, 0, 0, 1
59, 0, 0, 245, 0, 5, 1
83, 0, 2, 246, 0, 9, 1
5, 1, 1, 247, 0, 0, 1
63, 1, 2, 248, 0, 0, 1
71, 0, 0, 249, 0, 0, 1
11, 0, 0, 250, 0, 0, 1
41, 0, 1, 251, 0, 2, 1
64, 1, 1, 252, 0, 6, 1
51, 0, 0, 253, 0, 4, 1
75, 0, 2, 254, 0, 5, 1
20, 0, 1, 255, 0, 0, 1
125, 0, 1, 256, 0, 4, 1
69, 1, 0, 257, 0, 4, 1
62, 1, 2, 258, 0, 2, 1
17, 2, 0, 259, 0, 0, 1
79, 0, 0, 260, 0, 6, 1
27, 0, 1, 261, 0, 1, 1
32, 0, 0, 262, 0, 2, 1
38, 0, 2, 263, 0, 2, 1
10, 1, 1, 264, 0, 1, 1
82, 1, 2, 265, 0, 5, 1
23, 1, 1, 266, 0, 0, 1
37, 1, 1, 267, 0, 0, 1
66, 1, 0, 268, 0, 3, 1
8, 1, 1, 269, 0, 0, 1
22, 0, 0, 270, 0, 2, 1
15, 0, 2, 271, 0, 0, 1
6, 1, 0, 272, 0, 0, 1
7, 0, 1, 273, 0, 0, 1
156, 0, 0, 274, 0, 7, 1
11, 1, 1, 275, 0, 1, 1
33, 1, 0, 276, 0, 2, 1
17, 0, 1, 277, 0, 0, 1
79, 1, 0, 278, 0, 1, 1
24, 0, 2, 279, 0, 4, 1
31, 1, 1, 280, 0, 1, 1
55, 0, 2, 281, 0, 1, 1
12, 0, 1, 282, 0, 1, 1
91, 0, 1, 283, 0, 6, 1
