author	betweenness	in_degree	out_degree	betweenness_sent	in_degree_sent	out_degree_sent	num_of_threads
1Otis1	2	0.0	1.0	0.6666666666666666	0.0	3.0	2
Aleksis2	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
Alex Black	2	0.0	3.0	2.0	0.0	9.0	3
Alex Zender	0	0.0	0.0	0.0	0.0	0.0	1
Alex_man_xD	2	0.0	1.0	0.6666666666666666	0.0	3.0	2
Alexhangman	0	0.0	0.0	0.0	0.0	0.0	2
Ardentis	2	0.0	2.0	1.3333333333333333	0.0	6.0	4
Brendonpit	0	0.0	0.0	0.0	0.0	0.0	13
Butterscotch	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
Darct	0	0.0	0.0	0.0	0.0	0.0	1
Dark-Syberia	0	0.0	0.0	0.0	0.0	0.0	3
DarkVladislav	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
Dimmy	0	0.0	0.0	0.0	0.0	0.0	2
EHOT	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
Efim9	0	0.0	0.0	0.0	0.0	0.0	1
Evgenii857752	2	0.0	14.0	9.333333333333332	0.0	42.0	22
FleNdeR	0	0.0	0.0	0.0	0.0	0.0	1
Freemen	2	0.0	1.0	0.6666666666666666	0.0	3.0	6
FrostmanX	2	0.0	3.0	2.0	0.0	9.0	3
Gnot	2	0.0	2.0	0.6666666666666666	0.0	6.0	2
Hoop	2	0.0	45.0	31.13333333333335	0.0	136.0	52
LastName	0	0.0	0.0	0.0	0.0	0.0	3
Lesath	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
LinX	2	0.0	3.0	1.0	0.0	9.0	3
Marazm	0	0.0	0.0	0.0	0.0	0.0	3
MegaDist	0	0.0	0.0	0.0	0.0	0.0	2
Mikhail0s	0	0.0	0.0	0.0	0.0	0.0	2
NTN	0	0.0	0.0	0.0	0.0	0.0	1
NekoMan	2	0.0	5.0	1.6666666666666665	0.0	15.0	7
NickOn	2	0.0	2.0	1.3333333333333333	0.0	6.0	5
Pico	0	0.0	0.0	0.0	0.0	0.0	2
Shlyapa	3	0.0	58.0	3.3333333333333335	0.0	174.0	56
SteelKnight	2	0.0	32.0	10.916666666666664	0.0	95.0	25
Terravill	73	322.0	91.0	182.88333333333344	967.0	273.0	95
Unearth	42	54.0	0.0	96.16666666666666	161.0	0.0	1
Unknown	0	0.0	0.0	0.0	0.0	0.0	1
VladimirRed	2	0.0	1.0	0.6666666666666666	0.0	3.0	2
Vnuk1971	0	0.0	0.0	0.0	0.0	0.0	1
Wildelir	0	0.0	0.0	0.0	0.0	0.0	9
YDS	2	0.0	2.0	0.6666666666666666	0.0	6.0	1
ZeiGan	0	0.0	0.0	0.0	0.0	0.0	3
Zodchy	3	0.0	5.0	1.6666666666666665	0.0	15.0	4
_MIK_	2	0.0	7.0	2.333333333333333	0.0	21.0	7
abu	2	0.0	7.0	2.333333333333333	0.0	21.0	9
akl	2	0.0	1.0	0.6666666666666666	0.0	3.0	3
alaken	2	0.0	12.0	3.9999999999999996	0.0	36.0	7
andrei_kob	2	0.0	7.0	4.666666666666666	0.0	21.0	10
brut1	2	0.0	23.0	7.666666666666666	0.0	69.0	17
dementew	0	0.0	0.0	0.0	0.0	0.0	3
dreff	0	0.0	0.0	0.0	0.0	0.0	1
dsad67	2	0.0	4.0	2.6666666666666665	0.0	12.0	6
dyuke	2	0.0	13.0	4.333333333333333	0.0	39.0	18
fr0stMan	2	0.0	2.0	0.6666666666666666	0.0	6.0	2
gena2279	0	0.0	0.0	0.0	0.0	0.0	1
grindcorer	0	0.0	0.0	0.0	0.0	0.0	1
infusion	2	0.0	1.0	0.6666666666666666	0.0	3.0	2
karamba1985	0	0.0	0.0	0.0	0.0	0.0	1
kinoman	4	2.0	4.0	4.999999999999999	6.0	12.0	12
kynep	2	0.0	3.0	2.0	0.0	9.0	3
manzana3000	2	0.0	4.0	2.6666666666666665	0.0	12.0	7
planeta20	0	0.0	0.0	0.0	0.0	0.0	1
rpy6blu	2	0.0	2.0	1.3333333333333333	0.0	6.0	2
serjANT	0	0.0	0.0	0.0	0.0	0.0	1
sterile_space	0	0.0	0.0	0.0	0.0	0.0	1
vasil	0	0.0	0.0	0.0	0.0	0.0	1
waitNbleed	2	0.0	2.0	0.6666666666666666	0.0	6.0	1
zerstorer	0	0.0	0.0	0.0	0.0	0.0	1
zett	0	0.0	0.0	0.0	0.0	0.0	2
Алексей Ш	0	0.0	0.0	0.0	0.0	0.0	4
Даниил Андреев	0	0.0	0.0	0.0	0.0	0.0	3
Илья Братушкин	0	0.0	0.0	0.0	0.0	0.0	1
Илья Шин	2	0.0	7.0	2.333333333333333	0.0	21.0	7
Кролл	0	0.0	0.0	0.0	0.0	0.0	1
Наденька N	2	0.0	1.0	0.6666666666666666	0.0	3.0	3
Полуакустик	2	0.0	1.0	0.6666666666666666	0.0	3.0	2
Путеводитель	2	0.0	1.0	0.6666666666666666	0.0	3.0	1
Руслан Биккинин	0	0.0	0.0	0.0	0.0	0.0	4
Эдуардо	0	0.0	0.0	0.0	0.0	0.0	2
ЯтЪ	0	0.0	0.0	0.0	0.0	0.0	1
