author	betweenness	in_degree	out_degree	betweenness_sent	in_degree_sent	out_degree_sent	num_of_threads
1Otis1	0	0.0	0.0	0.0	0.0	0.0	2
Aleksis2	1	0.0	1.0	0.3333333333333333	0.0	3.0	1
Alex Black	22	2.0	0.0	14.66666666666666	6.0	0.0	3
Alex Zender	0	0.0	0.0	0.0	0.0	0.0	1
Alex_man_xD	48	1.0	1.0	16.00000000000001	3.0	3.0	2
Alexhangman	22	2.0	0.0	7.33333333333333	6.0	0.0	2
Ardentis	0	0.0	0.0	0.0	0.0	0.0	4
Brendonpit	22	4.0	0.0	7.33333333333333	12.0	0.0	13
Butterscotch	1	0.0	1.0	0.3333333333333333	0.0	3.0	1
Darct	0	0.0	0.0	0.0	0.0	0.0	1
Dark-Syberia	0	0.0	0.0	0.0	0.0	0.0	3
DarkVladislav	1	0.0	1.0	0.3333333333333333	0.0	3.0	1
Dimmy	0	0.0	0.0	0.0	0.0	0.0	2
EHOT	1	0.0	1.0	0.3333333333333333	0.0	3.0	1
Efim9	0	0.0	0.0	0.0	0.0	0.0	1
Evgenii857752	48	5.0	2.0	29.00000000000001	15.0	6.0	22
FleNdeR	0	0.0	0.0	0.0	0.0	0.0	1
Freemen	48	2.0	1.0	22.333333333333343	6.0	3.0	6
FrostmanX	1	0.0	2.0	0.6666666666666666	0.0	6.0	3
Gnot	48	2.0	1.0	50.66666666666675	6.0	3.0	2
Hoop	23	9.0	0.0	11.0	27.0	0.0	52
LastName	0	0.0	0.0	0.0	0.0	0.0	3
Lesath	0	0.0	0.0	0.0	0.0	0.0	1
LinX	48	1.0	1.0	16.00000000000001	3.0	3.0	3
Marazm	1	1.0	0.0	0.3333333333333333	3.0	0.0	3
MegaDist	0	0.0	0.0	0.0	0.0	0.0	2
Mikhail0s	20	1.0	0.0	6.666666666666664	3.0	0.0	2
NTN	1	1.0	0.0	0.3333333333333333	3.0	0.0	1
NekoMan	48	7.0	4.0	82.99999999999999	21.0	12.0	7
NickOn	1	0.0	1.0	0.3333333333333333	0.0	3.0	5
Pico	0	0.0	0.0	0.0	0.0	0.0	2
Shlyapa	352	22.0	52.0	575.3333333333355	66.0	156.0	56
SteelKnight	75	6.0	4.0	42.33333333333336	18.0	11.0	25
Terravill	357	27.0	17.0	328.33333333333286	80.0	51.0	95
Unearth	0	0.0	0.0	0.0	0.0	0.0	1
Unknown	0	0.0	0.0	0.0	0.0	0.0	1
VladimirRed	0	0.0	0.0	0.0	0.0	0.0	2
Vnuk1971	0	0.0	0.0	0.0	0.0	0.0	1
Wildelir	21	3.0	0.0	7.33333333333333	9.0	0.0	9
YDS	48	1.0	1.0	20.66666666666666	3.0	3.0	1
ZeiGan	0	0.0	0.0	0.0	0.0	0.0	3
Zodchy	21	1.0	2.0	7.33333333333333	3.0	6.0	4
_MIK_	26	1.0	4.0	9.333333333333332	3.0	12.0	7
abu	66	2.0	4.0	43.666666666666686	6.0	12.0	9
akl	48	2.0	1.0	27.333333333333304	6.0	3.0	3
alaken	77	3.0	6.0	137.9999999999999	9.0	18.0	7
andrei_kob	20	1.0	0.0	6.666666666666664	3.0	0.0	10
brut1	132	9.0	14.0	83.00000000000003	27.0	42.0	17
dementew	1	1.0	0.0	0.3333333333333333	3.0	0.0	3
dreff	0	0.0	0.0	0.0	0.0	0.0	1
dsad67	124	2.0	4.0	66.6666666666668	6.0	12.0	6
dyuke	108	15.0	12.0	253.3333333333328	45.0	36.0	18
fr0stMan	30	0.0	1.0	10.0	0.0	3.0	2
gena2279	0	0.0	0.0	0.0	0.0	0.0	1
grindcorer	20	1.0	0.0	6.666666666666664	3.0	0.0	1
infusion	0	0.0	0.0	0.0	0.0	0.0	2
karamba1985	0	0.0	0.0	0.0	0.0	0.0	1
kinoman	57	6.0	2.0	30.000000000000018	18.0	6.0	12
kynep	1	0.0	1.0	0.3333333333333333	0.0	3.0	3
manzana3000	30	0.0	1.0	10.0	0.0	3.0	7
planeta20	0	0.0	0.0	0.0	0.0	0.0	1
rpy6blu	0	0.0	0.0	0.0	0.0	0.0	2
serjANT	0	0.0	0.0	0.0	0.0	0.0	1
sterile_space	0	0.0	0.0	0.0	0.0	0.0	1
vasil	0	0.0	0.0	0.0	0.0	0.0	1
waitNbleed	0	0.0	0.0	0.0	0.0	0.0	1
zerstorer	0	0.0	0.0	0.0	0.0	0.0	1
zett	0	0.0	0.0	0.0	0.0	0.0	2
Алексей Ш	0	0.0	0.0	0.0	0.0	0.0	4
Даниил Андреев	0	0.0	0.0	0.0	0.0	0.0	3
Илья Братушкин	1	1.0	0.0	0.3333333333333333	3.0	0.0	1
Илья Шин	48	3.0	3.0	48.0	9.0	9.0	7
Кролл	20	1.0	0.0	6.666666666666664	3.0	0.0	1
Наденька N	0	0.0	0.0	0.0	0.0	0.0	3
Полуакустик	20	1.0	0.0	6.666666666666664	3.0	0.0	2
Путеводитель	30	0.0	1.0	10.0	0.0	3.0	1
Руслан Биккинин	0	0.0	0.0	0.0	0.0	0.0	4
Эдуардо	0	0.0	0.0	0.0	0.0	0.0	2
ЯтЪ	0	0.0	0.0	0.0	0.0	0.0	1
