author	num_of_threads
1Otis1	2
Aleksis2	1
Alex Black	3
Alex Zender	1
Alex_man_xD	2
Alexhangman	2
Ardentis	4
Brendonpit	13
Butterscotch	1
Darct	1
Dark-Syberia	3
DarkVladislav	1
Dimmy	2
EHOT	1
Efim9	1
Evgenii857752	22
FleNdeR	1
Freemen	6
FrostmanX	3
Gnot	2
Hoop	52
LastName	3
Lesath	1
LinX	3
Marazm	3
MegaDist	2
Mikhail0s	2
NTN	1
NekoMan	7
NickOn	5
Pico	2
Shlyapa	56
SteelKnight	25
Terravill	95
Unearth	1
Unknown	1
VladimirRed	2
Vnuk1971	1
Wildelir	9
YDS	1
ZeiGan	3
Zodchy	4
_MIK_	7
abu	9
akl	3
alaken	7
andrei_kob	10
brut1	17
dementew	3
dreff	1
dsad67	6
dyuke	18
fr0stMan	2
gena2279	1
grindcorer	1
infusion	2
karamba1985	1
kinoman	12
kynep	3
manzana3000	7
planeta20	1
rpy6blu	2
serjANT	1
sterile_space	1
vasil	1
waitNbleed	1
zerstorer	1
zett	2
Алексей Ш	4
Даниил Андреев	3
Илья Братушкин	1
Илья Шин	7
Кролл	1
Наденька N	3
Полуакустик	2
Путеводитель	1
Руслан Биккинин	4
Эдуардо	2
ЯтЪ	1
