
@RELATION stat_post_1

@ATTRIBUTE length NUMERIC
@ATTRIBUTE links NUMERIC
@ATTRIBUTE quoted NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE sentiment {-2, -1, 0, 1, 2}
@ATTRIBUTE keywords NUMERIC
@ATTRIBUTE utility {0, 1, 2, 3, 4, 5}

@DATA
382, 4, 0, 1, 0, 38, 3
34, 0, 1, 2, 0, 4, 3
8, 0, 1, 3, 0, 0, 0
6, 0, 0, 4, 0, 0, 1
78, 0, 0, 5, 0, 2, 2
5, 0, 0, 6, 0, 0, 1
63, 0, 0, 7, 0, 1, 4
17, 0, 0, 8, 0, 0, 1
12, 0, 2, 9, 0, 0, 1
62, 0, 0, 10, 0, 5, 5
26, 0, 0, 11, 0, 0, 1
135, 0, 2, 12, 0, 13, 3
75, 0, 0, 13, 0, 3, 4
36, 1, 0, 14, 0, 1, 2
94, 0, 0, 15, 0, 5, 2
26, 0, 1, 16, 1, 1, 0
35, 0, 1, 17, 1, 2, 0
13, 0, 0, 18, 0, 1, 2
25, 0, 0, 19, 1, 2, 1
21, 0, 0, 20, 2, 1, 0
104, 0, 1, 21, 0, 4, 5
38, 0, 0, 22, 0, 3, 3
97, 0, 1, 23, 0, 4, 3
144, 0, 1, 24, 0, 9, 4
55, 0, 1, 25, 0, 9, 4
95, 0, 0, 26, 0, 13, 3
11, 0, 0, 27, 0, 1, 3
50, 0, 2, 28, 0, 5, 4
22, 0, 0, 29, 0, 1, 0
56, 0, 0, 30, 0, 2, 3
378, 1, 0, 31, 0, 17, 4
78, 0, 1, 32, 0, 4, 4
33, 0, 0, 33, 0, 3, 2
36, 0, 0, 34, 0, 3, 1
20, 0, 1, 35, 0, 2, 1
11, 3, 1, 36, -1, 0, 3
26, 0, 0, 37, -1, 0, 0
43, 0, 0, 38, 1, 0, 0
4, 0, 0, 39, 0, 0, 0
12, 1, 2, 40, 0, 0, 0
33, 0, 0, 41, 0, 0, 0
83, 1, 0, 42, -1, 2, 3
92, 0, 0, 43, 0, 2, 2
44, 0, 1, 44, 0, 1, 1
8, 0, 0, 45, 0, 0, 0
10, 0, 1, 46, 0, 0, 0
96, 0, 1, 47, 0, 1, 1
44, 0, 0, 48, -2, 0, 0
44, 0, 0, 49, -2, 1, 0
31, 0, 0, 50, 0, 1, 2
146, 0, 3, 51, 0, 13, 4
112, 3, 1, 52, 0, 10, 4
78, 2, 2, 53, 0, 7, 4
48, 0, 0, 54, 0, 3, 3
69, 0, 1, 55, 0, 6, 4
65, 0, 1, 56, 0, 4, 3
41, 0, 0, 57, 0, 1, 3
95, 1, 2, 58, 0, 3, 4
101, 0, 3, 59, 0, 3, 3
44, 0, 0, 60, 0, 2, 0
126, 0, 0, 61, 0, 4, 2
98, 1, 0, 62, 0, 3, 4
55, 0, 1, 63, 0, 1, 2
121, 4, 0, 64, 0, 0, 2
44, 0, 1, 65, 0, 2, 1
66, 0, 0, 66, 0, 2, 3
19, 0, 0, 67, 0, 2, 0
35, 0, 1, 68, 0, 0, 3
67, 0, 0, 69, 0, 1, 3
18, 0, 0, 70, 0, 1, 2
35, 0, 0, 71, 0, 0, 2
19, 0, 2, 72, 0, 0, 1
42, 0, 0, 73, 0, 2, 3
130, 1, 0, 74, 0, 2, 2
24, 0, 0, 75, 0, 0, 1
48, 1, 1, 76, 0, 0, 1
110, 1, 0, 77, 0, 5, 1
133, 0, 0, 78, 0, 7, 4
339, 2, 1, 79, 0, 28, 5
8, 0, 1, 80, 2, 0, 0
73, 0, 0, 81, -2, 0, 0
16, 1, 0, 82, 0, 2, 1
97, 1, 0, 83, 0, 3, 2
86, 1, 1, 84, 0, 6, 3
107, 1, 0, 85, 0, 6, 3
34, 0, 1, 86, 0, 3, 2
59, 0, 0, 87, -1, 3, 1
55, 0, 1, 88, 0, 2, 4
80, 0, 0, 89, 0, 2, 2
26, 0, 1, 90, -1, 1, 0
35, 0, 0, 91, 0, 1, 0
61, 0, 1, 92, 0, 0, 0
13, 0, 1, 93, 0, 1, 1
47, 0, 0, 94, 0, 1, 0
13, 0, 0, 95, 0, 2, 1
60, 0, 2, 96, 0, 0, 0
11, 0, 0, 97, 0, 0, 0
50, 0, 0, 98, 0, 0, 0
41, 0, 0, 99, 0, 0, 0
139, 0, 1, 100, 0, 4, 3
96, 0, 4, 101, 0, 3, 3
70, 0, 0, 102, 0, 3, 1
37, 0, 0, 103, 0, 0, 0
19, 0, 0, 104, 0, 1, 0
211, 0, 0, 105, 0, 6, 2
68, 0, 2, 106, 0, 4, 3
89, 0, 2, 107, -1, 0, 0
157, 0, 5, 108, 0, 8, 1
51, 0, 1, 109, -1, 0, 0
126, 0, 2, 110, 0, 6, 4
62, 0, 0, 111, 0, 0, 0
77, 0, 0, 112, 0, 2, 1
65, 0, 0, 113, 0, 3, 1
28, 0, 0, 114, 0, 3, 1
129, 0, 0, 115, 0, 8, 1
313, 0, 0, 116, 0, 20, 4
43, 0, 2, 117, 0, 1, 1
62, 0, 1, 118, 0, 2, 1
68, 0, 0, 119, 0, 7, 1
102, 0, 0, 120, 0, 3, 1
11, 0, 1, 121, 0, 1, 0
88, 0, 0, 122, 0, 8, 3
43, 0, 0, 123, 0, 4, 1
43, 0, 0, 124, 0, 1, 2
49, 0, 0, 125, 0, 1, 1
40, 0, 0, 126, 0, 1, 1
35, 0, 0, 127, 0, 2, 1
38, 0, 0, 128, 0, 3, 1
80, 0, 1, 129, 0, 1, 2
1, 0, 0, 130, 1, 0, 1
53, 0, 0, 131, -1, 0, 0
141, 0, 0, 132, 0, 2, 1
3, 0, 0, 133, 2, 0, 0
7, 0, 0, 134, 2, 0, 0
39, 0, 0, 135, 0, 3, 1
36, 0, 0, 136, 2, 1, 0
9, 0, 0, 137, 0, 1, 0
57, 0, 1, 138, 2, 1, 0
38, 0, 0, 139, 2, 2, 0
26, 0, 0, 140, 2, 0, 0
48, 0, 0, 141, 1, 0, 0
11, 0, 0, 142, 1, 0, 0
81, 0, 0, 143, 0, 0, 0
79, 0, 0, 144, 0, 2, 0
25, 0, 0, 145, 0, 0, 0
21, 0, 0, 146, 0, 1, 0
7, 0, 0, 147, 0, 0, 0
60, 0, 1, 148, 0, 2, 0
23, 0, 0, 149, 0, 2, 0
159, 0, 4, 150, 0, 2, 0
237, 0, 4, 151, 0, 4, 0
200, 0, 4, 152, 0, 1, 0
29, 0, 0, 153, 0, 0, 0
315, 2, 0, 154, 0, 1, 0
57, 0, 0, 155, 0, 0, 0
132, 1, 0, 156, 0, 0, 0
11, 0, 0, 157, 0, 0, 0
50, 0, 0, 158, 0, 4, 0
77, 0, 1, 159, 1, 3, 0
75, 0, 0, 160, 0, 3, 0
21, 0, 1, 161, 0, 1, 0
52, 0, 1, 162, 0, 2, 0
67, 0, 1, 163, 0, 1, 0
48, 0, 0, 164, 0, 0, 0
4, 1, 0, 165, 0, 0, 5
11, 0, 0, 166, 1, 0, 0
12, 0, 1, 167, 1, 1, 0
30, 0, 0, 168, 0, 1, 0
63, 1, 0, 169, 1, 1, 0
7, 0, 0, 170, 0, 0, 0
12, 0, 0, 171, 0, 0, 0
11, 0, 1, 172, 0, 0, 0
134, 1, 0, 173, 0, 2, 0
21, 0, 0, 174, 0, 0, 0
235, 2, 0, 175, 1, 24, 4
19, 0, 0, 176, 0, 1, 0
73, 0, 0, 177, 0, 5, 3
37, 0, 1, 178, 0, 5, 3
30, 1, 1, 179, 0, 1, 1
89, 1, 0, 180, 0, 2, 1
59, 0, 0, 181, 0, 1, 1
39, 0, 1, 182, 0, 4, 1
19, 3, 1, 183, 0, 0, 1
60, 0, 0, 184, 1, 6, 3
46, 0, 0, 185, 0, 2, 1
7, 0, 0, 186, 0, 1, 1
65, 0, 1, 187, 0, 6, 1
54, 0, 0, 188, 0, 1, 1
70, 0, 2, 189, 0, 2, 0
72, 0, 0, 190, 0, 2, 0
12, 0, 0, 191, 0, 0, 0
90, 0, 0, 192, 0, 2, 1
32, 0, 1, 193, 0, 1, 1
18, 0, 0, 194, 0, 1, 1
122, 0, 0, 195, 0, 7, 1
54, 0, 0, 196, 0, 0, 1
22, 0, 0, 197, 0, 0, 0
132, 0, 0, 198, 0, 11, 1
80, 0, 2, 199, 0, 6, 1
176, 0, 0, 200, 0, 13, 1
98, 0, 0, 201, 0, 1, 0
189, 1, 3, 202, 0, 13, 1
1, 0, 0, 203, 0, 0, 0
67, 1, 1, 204, 0, 2, 1
27, 0, 0, 205, 0, 1, 1
303, 1, 1, 206, 0, 36, 5
55, 0, 1, 207, 0, 7, 1
18, 0, 0, 208, 2, 0, 0
23, 0, 1, 209, 0, 1, 1
13, 0, 0, 210, 0, 1, 1
16, 1, 0, 211, 0, 0, 1
65, 0, 2, 212, 0, 3, 1
149, 0, 0, 213, 0, 13, 3
132, 0, 0, 214, 0, 9, 3
53, 0, 1, 215, 0, 4, 3
63, 0, 0, 216, 0, 4, 3
101, 0, 0, 217, 0, 1, 3
18, 0, 1, 218, 0, 1, 1
34, 0, 1, 219, 0, 1, 1
31, 0, 1, 220, 0, 1, 1
33, 0, 0, 221, 0, 3, 1
7, 0, 0, 222, 0, 0, 0
30, 0, 0, 223, 0, 2, 1
21, 0, 0, 224, 0, 0, 1
3, 0, 0, 225, 0, 1, 1
2, 0, 0, 226, 0, 0, 1
30, 0, 1, 227, 0, 0, 1
7, 2, 1, 228, 0, 0, 1
3, 0, 0, 229, 1, 0, 0
63, 0, 0, 230, 0, 4, 0
59, 0, 0, 231, 0, 5, 0
21, 0, 0, 232, 0, 0, 0
41, 0, 0, 233, 0, 0, 0
44, 0, 0, 234, 0, 2, 0
86, 0, 1, 235, 0, 1, 0
57, 0, 0, 236, 0, 1, 0
2, 0, 0, 237, 0, 0, 0
34, 0, 1, 238, 0, 1, 0
18, 0, 1, 239, 0, 0, 0
29, 0, 3, 240, 0, 2, 0
12, 0, 0, 241, 0, 0, 0
