author	betweenness	in_degree	out_degree	betweenness_sent	in_degree_sent	out_degree_sent	num_of_threads
460	44	1.0	0.0	14.666666666666675	3.0	0.0	2
A-E	444	20.0	10.0	269.66666666666725	61.0	30.0	37
ACLoMiK	45	1.0	0.0	15.000000000000009	3.0	0.0	2
ANPolter	395	20.0	17.0	356.33333333333275	58.0	51.0	9
Albus	0	0.0	0.0	0.0	0.0	0.0	1
Alexashko	98	2.0	1.0	44.66666666666671	6.0	3.0	2
Animasola	98	4.0	2.0	32.66666666666662	12.0	6.0	4
Balthazar	0	0.0	0.0	0.0	0.0	0.0	1
Caleb_Crow	0	0.0	0.0	0.0	0.0	0.0	2
Den4	0	0.0	0.0	0.0	0.0	0.0	3
Double	0	0.0	0.0	0.0	0.0	0.0	1
Dr. Boson	89	1.0	1.0	51.833333333333385	3.0	2.0	2
EnteR	46	1.0	1.0	15.333333333333343	3.0	3.0	1
Faddey	56	0.0	1.0	18.666666666666668	0.0	3.0	1
Fenix	152	3.0	3.0	206.0	9.0	9.0	5
FtW	0	0.0	0.0	0.0	0.0	0.0	1
Gogi	0	0.0	0.0	0.0	0.0	0.0	1
Gregg	57	0.0	2.0	19.0	0.0	6.0	2
IUSius	153	4.0	7.0	239.6666666666676	12.0	21.0	13
Juppy	1631	56.0	54.0	1744.3833333332739	173.0	161.0	90
Killer Tomatoes	0	0.0	0.0	0.0	0.0	0.0	1
Lyudmila	90	2.0	1.0	44.66666666666671	6.0	3.0	2
MEHANIK	98	3.0	5.0	91.99999999999987	9.0	15.0	5
Max M	0	0.0	0.0	0.0	0.0	0.0	5
Mexx	0	0.0	0.0	0.0	0.0	0.0	1
Muzzleman	98	3.0	5.0	76.74999999999999	10.0	15.0	4
Neuroscan	98	4.0	4.0	59.33333333333336	12.0	12.0	5
Nicephorus	140	2.0	1.0	67.33333333333346	6.0	3.0	2
Ouninpohja	0	1.0	1.0	0.0	3.0	3.0	1
PaYAlnik	225	23.0	34.0	267.33333333333536	69.0	102.0	27
Prof	173	8.0	5.0	44.00000000000005	24.0	15.0	4
SVKan	288	6.0	8.0	296.3333333333338	18.0	24.0	6
Simak793	44	1.0	0.0	11.0	4.0	0.0	1
Skeptik88	140	2.0	3.0	132.6666666666665	4.0	9.0	3
Slav-on	98	1.0	2.0	32.66666666666662	3.0	6.0	7
Spok	44	3.0	0.0	27.66666666666668	9.0	0.0	2
Topytop	0	0.0	0.0	0.0	0.0	0.0	1
VeterMir	103	9.0	5.0	58.0	27.0	15.0	8
Yurka	153	3.0	1.0	111.99999999999989	9.0	3.0	3
ZaRtin	0	0.0	0.0	0.0	0.0	0.0	1
adekcandr	0	0.0	0.0	0.0	0.0	0.0	2
amk	56	1.0	2.0	28.0	5.0	7.0	3
artemha	1	0.0	1.0	0.3333333333333333	0.0	3.0	1
arymanuz	152	1.0	1.0	75.33333333333334	3.0	3.0	2
bemmer	0	0.0	0.0	0.0	0.0	0.0	1
berger11	98	2.0	1.0	77.99999999999997	6.0	3.0	6
bovplin	0	0.0	0.0	0.0	0.0	0.0	1
bsmbt	0	0.0	0.0	0.0	0.0	0.0	1
dianarws	44	2.0	1.0	14.666666666666675	6.0	3.0	2
egory6ko	0	0.0	0.0	0.0	0.0	0.0	1
esaulenka	89	1.0	1.0	44.33333333333337	3.0	3.0	2
fastback	98	1.0	1.0	32.66666666666662	3.0	3.0	4
filipok	56	0.0	2.0	46.66666666666669	0.0	5.0	2
freewind	98	1.0	1.0	32.66666666666662	3.0	3.0	2
gonshik	56	0.0	1.0	18.666666666666668	0.0	3.0	3
ilvo	0	0.0	0.0	0.0	0.0	0.0	5
jurok69	98	2.0	3.0	83.66666666666674	6.0	9.0	2
krogot88	57	0.0	2.0	19.0	0.0	6.0	5
kvarkicn	44	2.0	1.0	14.666666666666675	6.0	3.0	5
le-lexus	44	2.0	0.0	29.33333333333335	6.0	0.0	2
menand	0	0.0	0.0	0.0	0.0	0.0	1
mkuzmik	0	0.0	0.0	0.0	0.0	0.0	1
molotok	0	0.0	0.0	0.0	0.0	0.0	1
multig	98	1.0	3.0	61.33333333333349	3.0	9.0	5
oleg_leshee	44	1.0	0.0	14.666666666666675	3.0	0.0	1
panika	56	0.0	2.0	37.333333333333336	0.0	6.0	1
pavlinux	0	0.0	0.0	0.0	0.0	0.0	1
petrex	44	1.0	0.0	14.666666666666675	3.0	0.0	1
petru440	44	3.0	0.0	29.000000000000014	9.0	0.0	1
pixel8848	0	0.0	0.0	0.0	0.0	0.0	1
potato	44	5.0	1.0	58.6666666666667	15.0	3.0	1
pustota	0	0.0	0.0	0.0	0.0	0.0	2
raptor12321	56	0.0	1.0	18.666666666666668	0.0	3.0	1
samcherny	0	0.0	0.0	0.0	0.0	0.0	3
sc000	1	1.0	0.0	0.3333333333333333	3.0	0.0	1
schizo	316	16.0	31.0	271.333333333334	48.0	93.0	32
sergeivl	0	0.0	0.0	0.0	0.0	0.0	2
shapirus	741	27.0	27.0	264.0000000000024	79.0	80.0	30
skadi	237	19.0	21.0	234.66666666666873	57.0	63.0	16
skyrider	44	1.0	0.0	14.666666666666675	3.0	0.0	1
smol_	98	4.0	9.0	52.000000000000064	12.0	27.0	9
stronge	44	2.0	0.0	29.33333333333335	6.0	0.0	7
tene	45	1.0	0.0	22.5	2.0	0.0	1
tufoed	215	7.0	11.0	491.3333333333316	20.0	30.0	13
vadim-	98	14.0	20.0	155.99999999999986	42.0	60.0	16
velomanyak	1	1.0	0.0	0.3333333333333333	3.0	0.0	1
vlad_11	98	1.0	1.0	32.66666666666662	3.0	3.0	2
vladimir000000	44	1.0	0.0	44.0	1.0	0.0	1
wonzen	0	0.0	0.0	0.0	0.0	0.0	1
yokep	316	14.0	3.0	228.66666666666916	39.0	9.0	12
yuniki	1089	72.0	64.0	271.66666666666697	216.0	193.0	53
Бивис	0	0.0	0.0	0.0	0.0	0.0	1
Вадим Бегдаев	141	3.0	5.0	79.33333333333333	9.0	15.0	3
Димдимыч	119	7.0	11.0	37.99999999999999	21.0	33.0	8
Лепихов Михаил	141	1.0	2.0	43.30000000000015	4.0	9.0	2
Лёха Самолётов	1	2.0	1.0	0.3333333333333333	6.0	3.0	2
Чингачгук	0	0.0	0.0	0.0	0.0	0.0	1
ШеВ	0	0.0	0.0	0.0	0.0	0.0	1
снежный мамонт	44	1.0	0.0	14.666666666666675	3.0	0.0	1
