
@RELATION keywords_frequency/total_post_1_original_quoted

@ATTRIBUTE length NUMERIC
@ATTRIBUTE links NUMERIC
@ATTRIBUTE quoted NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE sentiment NUMERIC
@ATTRIBUTE keywords NUMERIC
@ATTRIBUTE betweenness NUMERIC
@ATTRIBUTE in_degree NUMERIC
@ATTRIBUTE out_degree NUMERIC
@ATTRIBUTE betweenness_sent NUMERIC
@ATTRIBUTE in_degree_sent NUMERIC
@ATTRIBUTE out_degree_sent NUMERIC
@ATTRIBUTE num_of_threads NUMERIC
@ATTRIBUTE utility NUMERIC

@DATA
382, 4, 0, 1, 0, 60, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
34, 0, 1, 2, 0, 7, 45, 1.0, 0.0, 15.000000000000009, 3.0, 0.0, 2, 3
8, 0, 1, 3, 0, 3, 44, 1.0, 0.0, 11.0, 4.0, 0.0, 1, 0
6, 0, 0, 4, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
78, 0, 0, 5, 0, 5, 56, 0.0, 1.0, 18.666666666666668, 0.0, 3.0, 3, 2
5, 0, 0, 6, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
63, 0, 0, 7, 0, 3, 1, 2.0, 1.0, 0.3333333333333333, 6.0, 3.0, 2, 4
17, 0, 0, 8, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
12, 0, 2, 9, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
62, 0, 0, 10, 0, 13, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 5
26, 0, 0, 11, 0, 1, 57, 0.0, 2.0, 19.0, 0.0, 6.0, 2, 1
135, 0, 2, 12, 0, 20, 1, 2.0, 1.0, 0.3333333333333333, 6.0, 3.0, 2, 3
75, 0, 0, 13, 0, 8, 57, 0.0, 2.0, 19.0, 0.0, 6.0, 2, 4
36, 1, 0, 14, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
94, 0, 0, 15, 0, 8, 89, 1.0, 1.0, 44.33333333333337, 3.0, 3.0, 2, 2
26, 0, 1, 16, 1, 6, 141, 1.0, 2.0, 43.30000000000015, 4.0, 9.0, 2, 0
35, 0, 1, 17, 1, 4, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
13, 0, 0, 18, 0, 3, 153, 3.0, 1.0, 111.99999999999989, 9.0, 3.0, 3, 2
25, 0, 0, 19, 1, 4, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
21, 0, 0, 20, 2, 1, 141, 1.0, 2.0, 43.30000000000015, 4.0, 9.0, 2, 0
104, 0, 1, 21, 0, 12, 152, 3.0, 3.0, 206.0, 9.0, 9.0, 5, 5
38, 0, 0, 22, 0, 8, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 3
97, 0, 1, 23, 0, 8, 98, 3.0, 5.0, 76.74999999999999, 10.0, 15.0, 4, 3
144, 0, 1, 24, 0, 17, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 4
55, 0, 1, 25, 0, 9, 44, 3.0, 0.0, 27.66666666666668, 9.0, 0.0, 2, 4
95, 0, 0, 26, 0, 13, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
11, 0, 0, 27, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 3
50, 0, 2, 28, 0, 4, 44, 3.0, 0.0, 27.66666666666668, 9.0, 0.0, 2, 4
22, 0, 0, 29, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
56, 0, 0, 30, 0, 4, 98, 3.0, 5.0, 76.74999999999999, 10.0, 15.0, 4, 3
378, 1, 0, 31, 0, 28, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 4
78, 0, 1, 32, 0, 8, 140, 2.0, 3.0, 132.6666666666665, 4.0, 9.0, 3, 4
33, 0, 0, 33, 0, 4, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 2
36, 0, 0, 34, 0, 2, 98, 1.0, 3.0, 61.33333333333349, 3.0, 9.0, 5, 1
20, 0, 1, 35, 0, 2, 152, 3.0, 3.0, 206.0, 9.0, 9.0, 5, 1
11, 3, 1, 36, -1, 0, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 3
26, 0, 0, 37, -1, 0, 56, 1.0, 2.0, 28.0, 5.0, 7.0, 3, 0
43, 0, 0, 38, 1, 0, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
4, 0, 0, 39, 0, 1, 56, 0.0, 1.0, 18.666666666666668, 0.0, 3.0, 3, 0
12, 1, 2, 40, 0, 0, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
33, 0, 0, 41, 0, 0, 56, 0.0, 1.0, 18.666666666666668, 0.0, 3.0, 3, 0
83, 1, 0, 42, -1, 1, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
92, 0, 0, 43, 0, 3, 140, 2.0, 3.0, 132.6666666666665, 4.0, 9.0, 3, 2
44, 0, 1, 44, 0, 2, 152, 3.0, 3.0, 206.0, 9.0, 9.0, 5, 1
