author	betweenness	in_degree	out_degree	betweenness_sent	in_degree_sent	out_degree_sent	num_of_threads
460	0	0.0	0.0	0.0	0.0	0.0	2
A-E	3	0.0	15.0	8.816666666666666	0.0	49.0	37
ACLoMiK	63	81.0	0.0	154.24999999999997	244.0	0.0	2
ANPolter	3	0.0	13.0	4.333333333333333	0.0	39.0	9
Albus	0	0.0	0.0	0.0	0.0	0.0	1
Alexashko	3	0.0	1.0	1.0	0.0	3.0	2
Animasola	3	0.0	2.0	2.0	0.0	6.0	4
Balthazar	0	0.0	0.0	0.0	0.0	0.0	1
Caleb_Crow	3	0.0	2.0	2.0	0.0	6.0	2
Den4	3	0.0	1.0	1.0	0.0	3.0	3
Double	0	0.0	0.0	0.0	0.0	0.0	1
Dr. Boson	3	0.0	1.0	1.5	0.0	2.0	2
EnteR	3	0.0	2.0	1.0	0.0	6.0	1
Faddey	3	0.0	1.0	1.0	0.0	3.0	1
Fenix	3	0.0	6.0	5.666666666666667	0.0	14.0	5
FtW	0	0.0	0.0	0.0	0.0	0.0	1
Gogi	0	0.0	0.0	0.0	0.0	0.0	1
Gregg	3	0.0	2.0	2.0	0.0	6.0	2
IUSius	3	0.0	12.0	7.416666666666667	0.0	38.0	13
Juppy	179	355.0	68.0	361.3000000000002	1070.0	204.0	90
Killer Tomatoes	0	0.0	0.0	0.0	0.0	0.0	1
Lyudmila	3	0.0	2.0	2.0	0.0	6.0	2
MEHANIK	3	0.0	5.0	3.0	0.0	15.0	5
Max M	0	0.0	0.0	0.0	0.0	0.0	5
Mexx	3	0.0	1.0	0.6000000000000001	0.0	5.0	1
Muzzleman	3	0.0	7.0	2.3333333333333335	0.0	21.0	4
Neuroscan	3	0.0	3.0	3.0	0.0	9.0	5
Nicephorus	3	0.0	1.0	1.0	0.0	3.0	2
Ouninpohja	3	0.0	1.0	1.0	0.0	3.0	1
PaYAlnik	3	0.0	32.0	18.666666666666657	0.0	96.0	27
Prof	3	0.0	2.0	2.0	0.0	6.0	4
SVKan	3	0.0	7.0	4.333333333333333	0.0	21.0	6
